endtime;A01nficha;A01ra;A01setor;A01npessoas;B01;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;B13_1;B13_2;B13_3;B13_4;B13_5;B13_6;B14_1;B14_2;B14_3;B14_4;B15_1;B15_2;B15_3;B15_4;B15_5;B16_1;B16_2;B16_3;B16_4;B16_5;B16_6;B17_1;B17_2;B17_3;B17_4;B17_5;B17_6;B18_1;B18_2;B18_3;B18_4;B18_5;B18_6;B19_1;B19_2;B19_3;B19_4;B19_5;B19_6;B19_7;B19_8;B19_9;B20_1;B20_2;B20_3;C01;C01_1;C02;C02_1;C03;C03_1;C04;C04_1_1;C04_1_2;C05_1;C05_2;C05_3;C06_1;C06_2;C06_3;C06_4;C06_5;C06_6;C06_7;C06_8;C06_9;C06_10;C06_11;C06_12;C06_13;C06_14;C06_15;C06_16;C06_17;C06_18;C07;C07_1;C08;C08_1;C08_2;C09_1;C09_2;C09_3;C09_4;C10;C10_1;C10_2;C10_3;C10_4;C10_5;D01;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;D13;D14;grupo_pdad;UPT;criterio_brasil;arranjos;inseg_alimentar;renda_domiciliar;renda_domiciliar_r;renda_domiciliar_pc;renda_domiciliar_pc_r;PESO_PRE;PESO_DOM;TOT_DOM
20210919;18196;27;53271;2;1;3;1;99999;99999;1;1;3;3;11;4;3;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;99999;2;99999;1;1;1;2;2;1;1;0;1;1;1;0;1;1;0;3;0;1;1;1;1;1;0;0;1;2;2;99999;99999;27;1;27;27;1;0;1;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;4;1;6;1;13000;12706,1574038779;6500;6353,07870193896;15,3914510686164;18,2900552486188;13242,0000000001
20211207;54042;1;53013;2;1;1;1;99999;99999;1;1;3;5;9;3;3;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;99999;2;99999;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;2;0;1;1;2;0;1;1;0;2;99999;1;1;2;1;1;1;1;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;2;6;1; ; ; ; ;5,33381398702235;5,31349911190053;5982,9999999999
20211025;69697;20;53200;1;1;1;3;99999;950;99999;1;3;5;3;1;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;2;99999;2;99999;2;99999;1;1;1;2;2;2;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;99999;2;99999;99999;20;56;59;59;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;3;5;1;1;4000;3878,94324188997;4000;3878,94324188997;31,7234513274336;33,0890736304823;52013,9999999985
20210828;20007;21;53210;3;1;2;1;99999;99999;1;1;3;2;4;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;5;1;1;2;2;2;2;2;1;1;1;1;2;1;1;2;1;1;2;2;2;2;99999;2;99999;2;99999;1;1;1;2;2;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;99999;2;99999;99999;15;3;15;21;1;0;1;0;0;0;1;1;1;1;1;1;88888;1;1;1;2;2;1;2;4;7;6;3;5;1450;1437,06640237859;483,333333333333;479,022134126198;34,9817880794702;26,5428571428571;16721,9999999998
20211127;53671;7;53070;1;1;5;3;99999;350;99999;1;3;1;4;1;1;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;4;1;1;2;2;1;1;1;1;2;2;2;2;1;1;1;1;1;2;2;2;2;99999;2;99999;2;99999;1;1;1;2;2;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;2;99999;2;99999;99999;7;59;7;7;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;4;6;1;1;1600;1532,42202148739;1600;1532,42202148739;28,2474048442907;38,1254545454545;20968,9999999998
20210831;19133;27;53272;2;1;3;1;99999;99999;2;1;3;3;6;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;99999;2;99999;1;1;1;2;2;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;2;99999;2;99999;99999;27;7;14;27;1;0;2;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;4;4;6;1;8500;8424,18235877106;4250;4212,09117938553;22,8748159057437;12,3189522342065;7994,9999999999
20211021;50979;29;53290;3;1;3;4;99999;99999;99999;1;3;5;7;3;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;3;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1;2;1;1;1;0;0;1;1;0;0;0;3;1;1;1;0;2;1;1;0;2;99999;2;99999;99999;29;29;29;29;1;0;1;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;3;3;2;1; ; ; ; ;1,41320754716981;3,05743243243243;905
20211108;74223;28;53280;2;1;3;1;99999;99999;2;1;3;1;7;3;2;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;1;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;99999;2;99999;1;1;1;1;2;2;1;0;1;0;1;0;0;0;0;2;0;0;1;1;0;1;0;0;2;99999;2;99999;99999;1;59;59;1;1;0;1;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;4;3;6;1; ; ; ; ;28,0683760683761;32,0298507462687;17167,9999999999
20210923;43313;25;53252;3;1;2;1;99999;99999;88888;2;3;4;4;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;99999;99999;2;2;1;2;2;2;1;1;2;2;1;2;1;1;2;2;2;1;2;2;2;99999;2;99999;1;1;1;2;1;2;2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;99999;2;99999;99999;25;59;25;59;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;3;6;3;1;1251;1222,72330094241;417;407,574433647469;4,67578125;5,03762376237624;2544
20210803;1780;4;53040;7;1;2;1;99999;99999;88888;1;3;1;6;3;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;1;3;2;99999;1;1;1;1;1;2;2;2;1;0;1;0;1;0;0;0;0;3;0;0;1;0;1;1;1;0;2;99999;2;99999;99999;4;4;4;4;1;0;4;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;6;4;5;1; ; ; ; ;20,7010309278351;28,0145454545454;15408
20210706;70762;8;53080;1;2;5;3;99999;800;99999;1;3;1;4;1;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;88888;88888;88888;1;1;1;1;3;1;88888;88888;88888;88888;88888;88888;1;1;1;1;1;1;1;1;1;1;1;2;1;2;99999;1;1;2;99999;1;2;1;2;2;88888;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;2;99999;2;99999;99999;17;59;59;17;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;3;4;1;1;2500;2500;2500;2500;13,9049919484702;15,2440366972477;8308
20210604;36691;6;53062;2;1;3;1;99999;99999;2;1;3;2;6;3;1;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;3;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2;2;1;1;2;99999;2;99999;1;1;1;2;2;1;1;0;1;0;1;0;0;0;0;2;0;0;1;0;0;1;0;0;2;99999;2;99999;99999;6;6;6;6;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;5;4;7;1; ; ; ; ;22,5791304347826;30,2240566037736;12815,0000000001
20210914;67516;3;53032;2;1;1;3;99999;720;99999;1;3;5;6;1;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;3;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;2;99999;2;99999;2;1;1;1;2;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;2;99999;2;99999;99999;3;3;3;3;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;6;4;6;1;2900;2834,45049778815;1450;1417,22524889408;2,00719424460432;3,02620087336245;2096
20210602;57466;2;53020;3;1;1;3;99999;2000;99999;1;3;5;7;3;2;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;2;99999;99999;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;99999;2;99999;1;1;1;1;2;1;1;0;1;0;1;1;0;0;0;4;0;0;1;1;2;1;0;0;2;99999;1;1;4;2;2;2;2;1;0;1;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;7;3;3;1; ; ; ; ;46,5694087403599;70,6168929110106;46819,0000000004
20211019;18370;18;53180;3;1;2;2;3100;99999;1;1;3;1;12;3;6;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;2;99999;1;3;1;1;1;1;2;1;2;1;0;1;1;0;0;1;0;3;1;0;3;0;4;1;0;4;1;1;1;2;4;18;56;18;1;1;0;2;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;2;1;7;1;20000;19394,7162094498;6666,66666666667;6464,90540314995;14,1032064128257;15,7749790694488;13897
20210508;27976;9;53090;5;1;2;1;99999;99999;1;1;3;1;5;4;1;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;1;2;2;1;1;1;1;2;2;2;1;2;1;1;2;2;2;99999;2;99999;2;99999;1;1;1;2;2;1;2;0;2;0;1;1;0;0;0;2;0;0;0;0;1;1;0;0;2;99999;2;99999;99999;9;59;59;9;1;2;0;0;0;0;1;1;1;1;1;2;1;1;1;1;1;2;2;2;3;6;5;2;4;4600;4620,261114;920;924,0522228;88,0380184331797;136,953980099502;110110,999999998
20210917;11506;26;53260;2;1;2;1;99999;99999;1;1;3;1;7;3;2;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;99999;2;99999;1;1;1;2;1;2;2;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;2;99999;2;99999;99999;5;59;5;5;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;5;5;6;1;1100;1075,13639571275;550;537,568197856373;34,124833997344;40,2965838509317;25950,9999999996
20210918;40148;11;53110;3;2;1;3;99999;2000;99999;2;3;5;7;3;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;99999;1;1;1;1;1;1;2;2;1;0;1;1;0;1;0;0;0;1;0;1;4;0;1;1;1;0;2;99999;2;99999;99999;11;59;59;59;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;1;2;3;1; ; ; ; ;16,8701298701299;22,4662698412698;11323
20211105;63050;30;53301;2;2;3;2;77777;99999;1;1;3;1;5;3;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;99999;2;99999;1;1;1;1;1;2;2;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;1;30;30;30;30;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;3;5;2;1; ; ; ; ;19,1253687315634;20,2099907493062;21847,0000000003
20210625;5844;4;53040;3;1;2;1;99999;99999;1;1;3;1;11;4;5;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;3;1;1;2;2;2;2;2;1;2;2;2;2;1;1;2;1;1;1;1;2;1;2;2;99999;2;99999;1;1;1;1;2;1;1;0;1;1;1;0;0;0;0;5;2;2;3;1;0;1;0;0;2;99999;1;1;5;4;4;4;4;1;0;2;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;6;2;6;1; ; ; ; ;20,7010309278351;28,0145454545454;15408
20210823;42149;27;53272;1;1;1;2;1500;99999;1;1;3;5;5;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;99999;2;99999;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;2;0;1;1;0;1;1;0;0;2;99999;2;99999;99999;27;27;59;27;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;4;3;1;1;8500;8424,18235877106;8500;8424,18235877106;22,8748159057437;12,3189522342065;7994,9999999999
20210824;15927;5;53050;2;1;5;1;99999;99999;88888;4;3;6;2;1;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;2;1;1;88888;3;1;1;2;2;2;2;2;2;1;2;1;2;1;1;2;1;1;1;2;88888;2;99999;2;99999;2;99999;1;2;1;2;2;2;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;2;99999;2;99999;99999;5;5;5;5;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;5;7;2;1;1700;1684,83647175421;850;842,418235877106;33,578167115903;33,7186588921283;23131,0000000002
20210702;17126;8;53080;4;1;2;1;99999;99999;1;1;3;1;16;4;5;1;2;2;1;2;1;1;2;2;2;1;2;1;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;3;2;99999;1;2;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;5;1;1;1;1;3;1;1;1;2;99999;1;2;5;8;25;25;3;1;2;1;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;3;1;4;1; ; ; ; ;13,9049919484702;15,2440366972477;8308
20210914;83773;27;53272;2;1;3;3;99999;2200;99999;1;3;1;6;2;2;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;99999;2;99999;1;1;1;2;2;2;1;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;2;99999;1;1;4;27;1;59;14;1;1;0;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;4;4;6;1;10000;9773,96723375225;5000;4886,98361687612;22,8748159057437;12,3189522342065;7994,9999999999
20211020;63978;22;53220;2;1;1;3;99999;2500;99999;1;3;5;5;2;2;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;99999;2;99999;1;1;1;2;2;2;1;1;0;0;0;1;0;0;0;2;0;1;1;2;2;1;0;0;2;99999;2;99999;99999;1;1;1;1;1;0;1;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;3;6;1; ; ; ; ;17,5911365260901;21,1935193519352;23545,9999999997
