"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato";"peso_upt"
"1";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";10782,2990840493;"Superior completo";"Masculino";"Outros";4,81176470588235;409;530140108;0,411867169811321
"2";"Central";"Plano Piloto";"Oeste";"Automóvel";"Até 30 minutos";9403,87542112741;"Superior completo";"Masculino";"Branca";16,2433862433862;3070;530120109;0,411867169811321
"3";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";2293,27856634718;"Superior incompleto";"Feminino";"Branca";17,25;2415;530120206;0,411867169811321
"4";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";1674,09335343344;"Superior incompleto";"Masculino";"Branca";28,8607594936709;2280;530120105;0,411867169811321
"5";"Central";"Plano Piloto";"Central";"Bicicleta";"Até 30 minutos";18346,2285307774;"Superior completo";"Masculino";"Branca";19,5866666666667;2938;530120110;0,411867169811321
"6";"Central";"Plano Piloto";"Central";"Automóvel";"Acima de 1 hora e 30 minutos";2045,60448118169;"Superior incompleto";"Masculino";"Branca";28,8607594936709;2280;530120105;0,411867169811321
"7";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";5503,86855923323;"Superior completo";"Feminino";"Outros";18,929347826087;3483;530120208;0,411867169811321
"8";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 30 minutos e 1 hora";8439,26512415762;"Superior completo";"Masculino";"Branca";16,6962025316456;1319;530120115;0,411867169811321
"9";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 1 hora e 1 hora e 30 minutos";15135,6385378914;"Médio completo";"Feminino";"Outros";21,2427184466019;2188;530120215;0,411867169811321
"10";"Central";"Plano Piloto";"Central Adjacente 1";"Automóvel";"Até 30 minutos";5503,86855923323;"Superior completo";"Feminino";"Branca";5,08333333333333;427;530140208;0,411867169811321
"11";"Central";"Plano Piloto";"Central";"A pé";"Até 30 minutos";5503,86855923323;"Superior completo";"Masculino";"Preta";5,02631578947368;382;530140107;0,411867169811321
"12";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";13477,8738550616;"Médio completo";"Masculino";"Branca";7,03333333333333;844;530130110;0,411867169811321
"13";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";13759,6713980831;"Superior completo";"Masculino";"Branca";11,131455399061;2371;530120107;0,411867169811321
"14";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";18346,2285307774;"Superior completo";"Feminino";"Branca";13,1032863849765;2791;530120207;0,411867169811321
"15";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";2293,27856634718;"Médio completo";"Masculino";"Branca";5,3972602739726;394;530140109;0,411867169811321
"16";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";2751,93427961662;"Superior completo";"Feminino";"Branca";6,53030303030303;431;530140210;0,411867169811321
"17";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";8463,48787901467;"Superior completo";"Masculino";"Outros";6,52380952380952;411;530140110;0,411867169811321
"18";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3027,12770757828;"Superior completo";"Feminino";"Branca";7,59345794392523;1625;530130208;0,411867169811321
"19";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";10090,4256919276;"Superior completo";"Masculino";"Branca";6,67857142857143;1309;530130108;0,411867169811321
"20";"Central";"Plano Piloto";"Central";"Ônibus";"Até 30 minutos";1410,58131316911;"Médio completo";"Feminino";"Preta";26,8653502694547;6513;530110208;0,411867169811321
"21";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 30 minutos e 1 hora";8255,80283884985;"Superior completo";"Feminino";"Branca";6,73684210526316;640;530130206;0,411867169811321
"22";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";13759,6713980831;"Superior completo";"Masculino";"Outros";6,60629921259843;839;530130107;0,411867169811321
"23";"Central";"Plano Piloto";"Central";"A pé";"Até 30 minutos";2695,57477101233;"Superior completo";"Feminino";"Branca";18,929347826087;3483;530120208;0,411867169811321
"24";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 30 minutos e 1 hora";5211,4445572905;"Médio completo";"Masculino";"Outros";14,695;2939;530120108;0,411867169811321
"25";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";1834,62285307774;"Superior completo";"Masculino";"Branca";11,131455399061;2371;530120107;0,411867169811321
"26";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";4586,55713269436;"Superior completo";"Masculino";"Branca";11,131455399061;2371;530120107;0,411867169811321
"27";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 30 minutos e 1 hora";3210,58999288605;"Superior completo";"Feminino";"Outros";5,08333333333333;427;530140208;0,411867169811321
"28";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";1100,77371184665;"Médio completo";"Masculino";"Branca";4,81176470588235;409;530140108;0,411867169811321
"29";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";1834,62285307774;"Médio completo";"Feminino";"Branca";5,08333333333333;427;530140208;0,411867169811321
"30";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";8255,80283884985;"Superior completo";"Feminino";"Branca";17,8878048780488;3667;530120209;0,411867169811321
"31";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";8557,52663322594;"Superior completo";"Masculino";"Branca";16,8538257922262;3898;530110106;0,411867169811321
"32";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";12200,241972967;"Superior completo";"Masculino";"Branca";6,60629921259843;839;530130107;0,411867169811321
"33";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3027,12770757828;"Superior completo";"Feminino";"Branca";9,02739726027397;1318;530130207;0,411867169811321
"34";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";26955,7477101233;"Superior completo";"Feminino";"Branca";9,02739726027397;1318;530130207;0,411867169811321
